R,G,B,C,M,Y,K
0,0,0,113,71,70,255
43,0,0,37,118,105,244
85,0,0,1,162,124,220
128,0,0,1,195,146,169
171,0,0,0,221,192,97
213,0,0,0,245,230,17
255,0,0,0,240,234,0
0,43,0,141,3,134,231
43,43,0,62,13,137,239
85,43,0,1,120,168,216
128,43,0,0,170,179,161
171,43,0,0,207,215,88
213,43,0,0,237,241,12
255,43,0,0,230,240,0
0,85,0,165,0,187,158
43,85,0,151,0,203,154
85,85,0,53,1,222,190
128,85,0,0,107,240,140
171,85,0,0,165,247,78
213,85,0,0,194,251,18
255,85,0,0,199,249,0
0,128,0,208,0,247,3
43,128,0,201,0,248,0
85,128,0,160,0,251,45
128,128,0,43,0,245,119
171,128,0,0,86,249,79
213,128,0,0,135,254,19
255,128,0,0,151,254,0
0,171,0,194,0,242,0
43,171,0,189,0,241,0
85,171,0,174,0,245,0
128,171,0,129,0,255,6
171,171,0,33,0,252,56
213,171,0,0,68,254,30
255,171,0,0,106,255,0
0,213,0,179,0,220,0
43,213,0,176,0,219,0
85,213,0,169,0,217,0
128,213,0,143,0,217,0
171,213,0,100,0,236,0
213,213,0,19,0,254,11
255,213,0,0,48,255,0
0,255,0,169,0,202,0
43,255,0,167,0,202,0
85,255,0,163,0,200,0
128,255,0,151,0,196,0
171,255,0,120,0,182,0
213,255,0,72,0,166,0
255,255,0,0,0,255,0
0,0,43,179,118,3,204
43,0,43,108,179,4,210
85,0,43,9,207,34,208
128,0,43,0,234,119,145
171,0,43,0,243,183,75
213,0,43,0,249,213,4
255,0,43,0,240,218,0
0,43,43,183,2,89,221
43,43,43,104,68,66,229
85,43,43,27,166,118,191
128,43,43,7,203,166,134
171,43,43,2,228,201,74
213,43,43,0,243,227,19
255,43,43,0,233,216,0
0,85,43,180,0,180,150
43,85,43,164,3,190,153
85,85,43,63,30,186,180
128,85,43,29,125,207,118
171,85,43,23,174,223,54
213,85,43,8,204,237,15
255,85,43,0,207,221,0
0,128,43,214,0,245,0
43,128,43,201,2,243,37
85,128,43,161,11,237,63
128,128,43,48,15,226,116
171,128,43,17,96,233,65
213,128,43,11,140,241,15
255,128,43,0,157,232,0
0,171,43,193,0,231,0
43,171,43,189,0,229,0
85,171,43,177,0,228,0
128,171,43,136,8,240,11
171,171,43,29,7,244,66
213,171,43,3,76,250,31
255,171,43,0,109,237,0
0,213,43,176,0,211,0
43,213,43,175,0,208,0
85,213,43,169,0,205,0
128,213,43,146,0,203,0
171,213,43,105,1,216,0
213,213,43,23,8,245,23
255,213,43,0,56,247,0
0,255,43,166,0,195,0
43,255,43,165,0,194,0
85,255,43,160,0,192,0
128,255,43,149,0,187,0
171,255,43,121,0,177,0
213,255,43,71,0,159,0
255,255,43,0,0,176,0
0,0,85,236,114,0,143
43,0,85,187,193,0,130
85,0,85,135,246,0,108
128,0,85,35,248,1,112
171,0,85,0,252,68,61
213,0,85,0,255,123,0
255,0,85,0,248,162,0
